ID|STATUS|NOME_DO_TIPO_DE_ATIVIDADE|ROTULO|GRUPO|TIPO
7|Ativa|SUSPFORN - Corte|SUSPFORN|[CT] - Corte/Suspensão de Fornecimento|SERV
49|Ativa|CTD - Corte 1 A 4|CTD|[CT] - Corte/Suspensão de Fornecimento|SERV
50|Ativa|CTP - Acima de 4|CTP|[CT] - Corte/Suspensão de Fornecimento|SERV
51|Ativa|CTI - Corte Inspeção|CTI|[CT] - Corte/Suspensão de Fornecimento|SERV
188|Ativa|SPDEFTEC - Suspensão por deficiência técnica|SPDEFTEC|[CT] - Corte/Suspensão de Fornecimento|SERV
29|Ativa|DESLORAM - Deslocamento de Ramal|DESLORAM|[DR] - Deslocamento de Ramal|SERV
9|Ativa|DSBTPDCL - Desligamento De Unidade Consumidora|DSBTPDCL|[DS] - Desligamento|SERV
10|Ativa|DSBTPROV - Desligamento por Ligação Provisória|DSBTPROV|[DS] - Desligamento|SERV
52|Ativa|DSPROVAT - Desligamento Por Ligação Provisória At|DSPROVAT|[DS] - Desligamento|SERV
53|Ativa|DSTEMPOR - Desligamento Temporário|DSTEMPOR|[DS] - Desligamento|SERV
54|Ativa|DSPEDEMP - Desligamento Temporario|DSPEDEMP|[DS] - Desligamento|SERV
55|Ativa|DESL - Desligamento|DESL|[DS] - Desligamento|SERV
68|Inativo|FS_ALVOS - Fiscalização Alvos|FS_ALVOS|[FS] - Fiscalização|SERV
69|Inativo|FS_DS - Fiscalização Ds|FS_DS|[FS] - Fiscalização|SERV
70|Inativo|FS_JUDICIAL - Fiscalização Judicial / Aferição|FS_JUDICIAL|[FS] - Fiscalização|SERV
71|Inativo|FS_VOLUNTARIO - Fiscalização Voluntaria|FS_VOLUNTARIO|[FS] - Fiscalização|SERV
72|Inativo|FS_PROJETOS - Fiscalização Projetos * (Smc / Guama)|FS_PROJETOS|[FS] - Fiscalização|SERV
73|Ativa|RETOCAMP_ALVO - Fiscalização Alvos|RETOCAMP_ALVO|[FS] - Fiscalização|SERV
74|Ativa|RETOCAMP_CLANDESTINO - Fiscalizacao Clandestino|RETOCAMP_CLANDESTINO|[FS] - Fiscalização|SERV
75|Ativa|RETOCAMP_DS - Fiscalização Ds|RETOCAMP_DS|[FS] - Fiscalização|SERV
76|Ativa|RETOCAMP_JUDICIAL - Fiscalização Judicial / Aferição|RETOCAMP_JUDICIAL|[FS] - Fiscalização|SERV
77|Ativa|RETOCAMP_VOLUNTARIA - Fiscalização Voluntaria|RETOCAMP_VOLUNTARIA|[FS] - Fiscalização|SERV
78|Ativa|RETOCAMP_PROJETOS - Fiscalização Projetos * (Smc / Guama)|RETOCAMP_PROJETOS|[FS] - Fiscalização|SERV
79|Ativa|FISCAVUL_VOLUNTARIA - Fiscalização VoluntariaFISCAVUL_VOLUNTARIA - Fiscalização Voluntaria|FISCAVUL_VOLUNTARIA|[FS] - Fiscalização|SERV
80|Ativa|FISCAVUL_PROJETOS - Fiscalização Projetos * (Smc / Guama)|FISCAVUL_PROJETOS|[FS] - Fiscalização|SERV
81|Ativa|FISCAVUL_CLANDESTINO - Fiscalizacao Clandestino|FISCAVUL_CLANDESTINO|[FS] - Fiscalização|SERV
42|Ativa|INSPTECN - Inspeção Técnica|INSPTECN|[IS] - Inspeção Técnica|SERV
83|Ativa|INSPCOME - Inspeção Comercial|INSPCOME|[IS] - Inspeção Técnica|SERV
12|Ativa|LIGNOVBT - Ligação Nova|LIGNOVBT|[LN] - Ligação Nova|SERV
13|Ativa|LIGPROVI - Ligação Provisória|LIGPROVI|[LN] - Ligação Nova|SERV
14|Ativa|LIGREATI - Ligação Nova - Reativação|LIGREATI|[LN] - Ligação Nova|SERV
56|Ativa|LIG - Ligação De Unidade Consumidora|LIG|[LN] - Ligação Nova|SERV
82|Ativa|VIST - Vistoria P/ Ligação|VIST|[LN] - Ligação Nova|SERV
84|Ativa|LIGSISOL - Ligação Nova Sistema Isolado|LIGSISOL|[LN] - Ligação Nova|SERV
85|Ativa|ENEREMUC - Energização EMUC|ENEREMUC|[LN] - Ligação Nova|SERV
124|Ativa|LIGANOVA - Ligação Nova|LIGANOVA|[LN] - Ligação Nova|SERV
125|Ativa|REATIVAC - Ligação Nova - Reativação|REATIVAC|[LN] - Ligação Nova|SERV
18|Ativa|ALMODTAR - Alteração de Modalidade Tarifária BT|ALMODTAR|[M1] - Alteração de Modalidade Tarifária|SERV
16|Ativa|MUDMEDLC - Mudança de Medidor de Local|MUDMEDLC|[MM] - Mudança de Medidor de Local|SERV
137|Ativa|MDQUALAM - Medicao De Qualidade Amostral Aneel|MDQUALAM|[MQ] - Medição de Qualidade|SERV
138|Ativa|MDQUALCL - Medicao De Qld Permanente Por Sol. Do Cliente|MDQUALCL|[MQ] - Medição de Qualidade|SERV
57|Ativa|MISTEC - Miscelanea Técnica|MISTEC|[MT] - Miscelânea Técnica|SERV
58|Ativa|MTAFERMED - Afericao De Medidor|MTAFERMED|[MT] - Miscelânea Técnica|SERV
59|Ativa|MS - Mudanca De Medidor|MS|[MT] - Miscelânea Técnica|SERV
140|Ativa|MT - Inspecao de Alimentador|INSPALIM|[MT] - Miscelânea Técnica|SERV
60|Ativa|SEMFLENG - Serviço Emergencial-Falta de Energia|SEMFLENG|[NR] - Nota de Reclamação Técnica Emergencial|SERV
86|Ativa|SEVEMFAE - Serviço Emergencial-Falta Energia|SEVEMFAE|[NR] - Nota de Reclamação Técnica Emergencial|SERV
