UF,CIDADE,DIST,SUPER,REGIONAL,SECCIONAL,MUNICIPIO_N_UF,COD_IBGE,MUNICIPIO_UF
AL,ANADIA,EQTL_AL,LESTE,LESTE,METROPOLITANA,ANADIA,2700201,Anadia - AL
AL,ATALAIA,EQTL_AL,LESTE,LESTE,METROPOLITANA,ATALAIA,2700409,Atalaia - AL
AL,BARRA DE SANTO ANTONIO,EQTL_AL,LESTE,LESTE,METROPOLITANA,BARRA DE SANTO ANTONIO,2700508,Barra de Santo Antônio - AL
AL,BARRA DE SAO MIGUEL,EQTL_AL,LESTE,LESTE,METROPOLITANA,BARRA DE SAO MIGUEL,2700607,Barra de São Miguel - AL
AL,BOCA DA MATA,EQTL_AL,LESTE,LESTE,METROPOLITANA,BOCA DA MATA,2701001,Boca da Mata - AL
AL,CAJUEIRO,EQTL_AL,LESTE,LESTE,METROPOLITANA,CAJUEIRO,2701308,Cajueiro - AL
AL,CAPELA,EQTL_AL,LESTE,LESTE,METROPOLITANA,CAPELA,2701704,Capela - AL
AL,CHA PRETA,EQTL_AL,LESTE,LESTE,METROPOLITANA,CHA PRETA,2701902,Chã Preta - AL
AL,COQUEIRO SECO,EQTL_AL,LESTE,LESTE,METROPOLITANA,COQUEIRO SECO,2702207,Coqueiro Seco - AL
AL,MACEIO,EQTL_AL,LESTE,LESTE,METROPOLITANA,MACEIO,2704302,Maceió - AL
AL,MAR VERMELHO,EQTL_AL,LESTE,LESTE,METROPOLITANA,MAR VERMELHO,2704906,Mar Vermelho - AL
AL,MARECHAL DEODORO,EQTL_AL,LESTE,LESTE,METROPOLITANA,MARECHAL DEODORO,2704708,Marechal Deodoro - AL
AL,MARIBONDO,EQTL_AL,LESTE,LESTE,METROPOLITANA,MARIBONDO,2704807,Maribondo - AL
AL,MESSIAS,EQTL_AL,LESTE,LESTE,METROPOLITANA,MESSIAS,2705200,Messias - AL
AL,PARIPUEIRA,EQTL_AL,LESTE,LESTE,METROPOLITANA,PARIPUEIRA,2706448,Paripueira - AL
AL,PILAR,EQTL_AL,LESTE,LESTE,METROPOLITANA,PILAR,2706901,Pilar - AL
