TX_REF|TX_CHAVE|TX_VALOR
EQ_TipoConclusaoExecutada|MA_CT_RAJADA_EXECSERV_0018|BAIXA POR RAJADA/ARRECADAÇÃO
EQ_TipoConclusaoExecutada|MA_CT_SPDEFTEC_SUSPTEC3_0001|Suspensão Realizada
EQ_TipoConclusaoExecutada|MA_CT_SPDEFTEC_SUSPTEC3_0003|Adequação Realizada
EQ_TipoConclusaoExecutada|MA_CT_SPDEFTEC_SUSPTEC3_0005|Realizar vistoria de adequação
EQ_TipoConclusaoExecutada|MA_CT_SUSPFORN_SUSPENSA_0001|SUSPENSÃO NO BEIRAL
EQ_TipoConclusaoExecutada|MA_CT_SUSPFORN_SUSPENSA_0002|SUSPENSÃO NO BARRAMENTO/CPREDE
EQ_TipoConclusaoExecutada|MA_CT_SUSPFORN_SUSPENSA_0004|DISJUNTOR DESARMADO
EQ_TipoConclusaoExecutada|MA_CT_SUSPFORN_SUSPENSA_0005|SUSPENSÃO NO POSTE/CPREDE
EQ_TipoConclusaoExecutada|MA_CT_SUSPFORN_SUSPENSA_0006|SUSPENSÃO - RAMAL RETIRADO
EQ_TipoConclusaoExecutada|MA_CT_SUSPFORN_SUSPENSA_0007|SUSPENSÃO - MEDIDOR RETIRADO
EQ_TipoConclusaoExecutada|MA_CT_SUSPFORN_SUSPENSA_0009|SUSPENSÃO - AUTO RELIGADO
EQ_TipoConclusaoExecutada|MA_DR_DESLORAM_DESLORAM_0001|EXECUTADO
EQ_TipoConclusaoExecutada|MA_DR_DESLORAM_DESLORAM_0002|EXECUTADO FINANCIADO PADRÃO
EQ_TipoConclusaoExecutada|MA_DR_DESLORAM_DESLORAM_0003|EXECUTADO - TROCAR MEDIDOR
EQ_TipoConclusaoExecutada|MA_DR_DESLORAM_DESLORAM_0004|EXECUTADO/FINANCI. PADRÃO-TROCAR MEDIDOR
EQ_TipoConclusaoExecutada|MA_DR_DESLORAM_DESLORAM_0007|EXECUÇÃO DO SERVIÇO/DESLOCAMENTO MEDIDOR
EQ_TipoConclusaoExecutada|MA_DS_DSBTPDCL_DESLIGAM_0001|COM RETIRADA DE MEDIDOR
EQ_TipoConclusaoExecutada|MA_DS_DSBTPDCL_DESLIGAM_0002|SEM RETIRADA DE MEDIDOR
EQ_TipoConclusaoExecutada|MA_DS_DSBTPROV_DESLIGPV_0001|COM RETIRADA DE MEDIDOR
EQ_TipoConclusaoExecutada|MA_DS_DSBTPROV_DESLIGPV_0002|SEM RETIRADA DE MEDIDOR
EQ_TipoConclusaoExecutada|MA_DS_DSPROVAT_DESINTRD_0001|EXECUTADO
EQ_TipoConclusaoExecutada|MA_DS_DSPROVAT_DSCHARED_0001|CHAVE DESLIGADA
EQ_TipoConclusaoExecutada|MA_DS_DSPROVAT_DSLGPVAT_0001|COM RETIRADA DE MEDIDOR
EQ_TipoConclusaoExecutada|MA_DS_DSPROVAT_DSLGPVAT_0002|SEM RETIRADA DE MEDIDOR
EQ_TipoConclusaoExecutada|MA_DS_DSTEMPOR_DESLIGAM_0001|COM RETIRADA DE MEDIDOR
