TX_REF|TX_CHAVE|TX_VALOR
EQ_TipoConclusaoNaoExecutada|MA_CT_SUSPFORN_SUSPENSA_0019|DÉBITO PAGO
EQ_TipoConclusaoNaoExecutada|MA_CT_SUSPFORN_SUSPENSA_0023|NEGOCIAÇÃO SEED MONEY
EQ_TipoConclusaoNaoExecutada|MA_LG_LIGANOVA_VISTORIA_0012|FALTA DE REDE EM CONDOMÍNIO
EQ_TipoConclusaoNaoExecutada|MA_LG_LIGANOVA_VISTORIA_0018|SEM REDE E CLIENTE ACEITA FINANCIAMENTO
EQ_TipoConclusaoNaoExecutada|MA_LG_LIGANOVA_VISTORIA_0019|SEM REDE E INSTALAÇÃO JÁ POSSUI PADRÃO
EQ_TipoConclusaoNaoExecutada|MA_LG_LIGNOVBT_VISLGNVN_0012|FALTA DE REDE EM CONDOMÍNIO
EQ_TipoConclusaoNaoExecutada|MA_LG_LIGNOVBT_VISLGNVN_0018|SEM REDE E CLIENTE ACEITA FINANCIAMENTO [LN]
EQ_TipoConclusaoNaoExecutada|MA_LG_LIGNOVBT_VISLGNVN_0019|SEM REDE E INSTALAÇÃO JÁ POSSUI PADRÃO [LN]
EQ_TipoConclusaoNaoExecutada|MA_LG_LIGNOVBT_VISTLGNV_0012|FALTA DE REDE EM CONDOMÍNIO
EQ_TipoConclusaoNaoExecutada|MA_LG_LIGNOVBT_VISTLGNV_0018|SEM REDE E CLIENTE ACEITA FINANCIAMENTO
EQ_TipoConclusaoNaoExecutada|MA_LG_LIGNOVBT_VISTLGNV_0019|SEM REDE E INSTALAÇÃO JÁ POSSUI PADRÃO
EQ_TipoConclusaoNaoExecutada|MA_LG_LIGNOVBT_VISTLGNV_0020|SEM REDE E FALTA DE PADRÃO
EQ_TipoConclusaoNaoExecutada|MA_LG_LIGREATI_VISLGNVN_0012|FALTA DE REDE EM CONDOMÍNIO
EQ_TipoConclusaoNaoExecutada|MA_LG_LIGREATI_VISLGNVN_0018|SEM REDE E CLIENTE ACEITA FINANCIAMENTO
EQ_TipoConclusaoNaoExecutada|MA_LG_LIGREATI_VISLGNVN_0019|SEM REDE E INSTALAÇÃO JÁ POSSUI PADRÃO
EQ_TipoConclusaoNaoExecutada|MA_LG_LIGREATI_VISTLGNV_0012|FALTA DE REDE EM CONDOMÍNIO
EQ_TipoConclusaoNaoExecutada|MA_LG_LIGREATI_VISTLGNV_0018|SEM REDE E CLIENTE ACEITA FINANCIAMENTO
EQ_TipoConclusaoNaoExecutada|MA_LG_LIGREATI_VISTLGNV_0019|SEM REDE E INSTALAÇÃO JÁ POSSUI PADRÃO
EQ_TipoConclusaoNaoExecutada|MA_LG_REATIVAC_VISTORIA_0012|FALTA DE REDE EM CONDOMÍNIO
EQ_TipoConclusaoNaoExecutada|MA_LG_REATIVAC_VISTORIA_0018|SEM REDE E CLIENTE ACEITA FINANCIAMENTO
EQ_TipoConclusaoNaoExecutada|MA_LG_REATIVAC_VISTORIA_0019|SEM REDE E INSTALAÇÃO JÁ POSSUI PADRÃO
EQ_TipoConclusaoNaoExecutada|MA_OC_ORCNXBTN_LEVANTOB_0022|FALTA DE REDE EM CONDOMÍNIO (OC)
EQ_TipoConclusaoNaoExecutada|MA_OC_ORCNXBTN_LEVANTOB_0023|CLIENTE EM ÁREA URBANA SEM ARRUAMENTO S/ REDE (OC)
EQ_TipoConclusaoNaoExecutada|MA_OC_ORCNXBTN_LEVANTOB_0024|FALTA DE REDE EM CONDOMÍNIO (OC)
EQ_TipoConclusaoNaoExecutada|MA_OC_ORCNXBTN_LEVANTOB_0033|CLIENTE EM ÁREA URBANA SEM ARRUAMENTO S/ REDE (OC)
EQ_TipoConclusaoNaoExecutada|MA_OC_ORCNXBTN_LEVANTOB_0034|NECESSIDADE DE OBRA - SEM REDE (OC)
EQ_TipoConclusaoNaoExecutada|MA_OC_ORCNXBTN_LEVANTOB_0040|SEM REDE E INSTALAÇÃO JÁ POSSUI PADRÃO (OC)
EQ_TipoConclusaoNaoExecutada|MA_OC_ORCNXBTN_LEVANTOB_0041|SEM REDE E FALTA DE PADRÃO (OC)
EQ_TipoConclusaoNaoExecutada|MA_OC_ORCNXBTN_LEVANTOB_0044|SEM REDE E CLIENTE ACEITA FINANCIAMENTO (OC)
EQ_TipoConclusaoNaoExecutada|MA_OC_ORCNXBTN_VISTCONX_0022|FALTA DE REDE EM CONDOMÍNIO (VISTCONX)
EQ_TipoConclusaoNaoExecutada|MA_OC_ORCNXBTN_VISTCONX_0023|CLIENTE EM ÁREA URBANA SEM ARRUAMENTO S/ REDE  (VISTCONX)
EQ_TipoConclusaoNaoExecutada|MA_OC_ORCOXNBT_LEVANTOB_0038|SEM REDE E CLIENTE ACEITA FINANCIAMENTO
EQ_TipoConclusaoNaoExecutada|MA_OC_ORCOXNBT_LEVANTOB_0039|SEM REDE E INSTALAÇÃO JÁ POSSUI PADRÃO
EQ_TipoConclusaoNaoExecutada|MA_OC_ORCOXNBT_LEVANTOB_0040|SEM REDE E FALTA DE PADRÃO
